INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  35.09, Acc-val:  35.08, L-tr: 1.7646, L-val: 1.7520
INFO:root:001: Acc-tr:  47.95, Acc-val:  42.03, L-tr: 1.4184, L-val: 1.5718
INFO:root:002: Acc-tr:  52.73, Acc-val:  44.18, L-tr: 1.3164, L-val: 1.5668
INFO:root:003: Acc-tr:  53.04, Acc-val:  49.20, L-tr: 1.3079, L-val: 1.4640
INFO:root:004: Acc-tr:  59.36, Acc-val:  47.55, L-tr: 1.1149, L-val: 1.5163
INFO:root:005: Acc-tr:  61.73, Acc-val:  47.17, L-tr: 1.0762, L-val: 1.5784
INFO:root:006: Acc-tr:  61.62, Acc-val:  45.72, L-tr: 1.0797, L-val: 1.5848
INFO:root:007: Acc-tr:  67.79, Acc-val:  52.76, L-tr: 0.9053, L-val: 1.4565
INFO:root:008: Acc-tr:  69.36, Acc-val:  52.42, L-tr: 0.8763, L-val: 1.4618
INFO:root:009: Acc-tr:  66.27, Acc-val:  48.58, L-tr: 0.9254, L-val: 1.7302
INFO:root:010: Acc-tr:  72.95, Acc-val:  51.38, L-tr: 0.7566, L-val: 1.6102
INFO:root:011: Acc-tr:  73.52, Acc-val:  55.59, L-tr: 0.7344, L-val: 1.3773
INFO:root:012: Acc-tr:  62.46, Acc-val:  45.38, L-tr: 1.1560, L-val: 2.2546
INFO:root:013: Acc-tr:  68.03, Acc-val:  44.43, L-tr: 0.8796, L-val: 2.1080
INFO:root:014: Acc-tr:  77.05, Acc-val:  55.89, L-tr: 0.6408, L-val: 1.5513
INFO:root:015: Acc-tr:  78.51, Acc-val:  54.60, L-tr: 0.6093, L-val: 1.7104
INFO:root:016: Acc-tr:  77.11, Acc-val:  51.67, L-tr: 0.6456, L-val: 1.9121
INFO:root:017: Acc-tr:  81.78, Acc-val:  54.80, L-tr: 0.5102, L-val: 1.6700
INFO:root:018: Acc-tr:  82.39, Acc-val:  52.80, L-tr: 0.5043, L-val: 1.8846
INFO:root:019: Acc-tr:  80.01, Acc-val:  49.31, L-tr: 0.5626, L-val: 2.1805
INFO:root:020: Acc-tr:  83.87, Acc-val:  55.13, L-tr: 0.4420, L-val: 2.0194
INFO:root:021: Acc-tr:  84.12, Acc-val:  53.37, L-tr: 0.4447, L-val: 2.1016
INFO:root:022: Acc-tr:  86.23, Acc-val:  48.79, L-tr: 0.3696, L-val: 2.7176
INFO:root:023: Acc-tr:  90.34, Acc-val:  53.79, L-tr: 0.2727, L-val: 2.1492
INFO:root:024: Acc-tr:  88.34, Acc-val:  53.28, L-tr: 0.3289, L-val: 2.2455
INFO:root:025: Acc-tr:  85.69, Acc-val:  47.08, L-tr: 0.4052, L-val: 3.1465
INFO:root:026: Acc-tr:  90.40, Acc-val:  56.27, L-tr: 0.2645, L-val: 2.1023
INFO:root:027: Acc-tr:  82.59, Acc-val:  48.57, L-tr: 0.5342, L-val: 2.9610
INFO:root:028: Acc-tr:  85.25, Acc-val:  54.05, L-tr: 0.4478, L-val: 2.8162
INFO:root:029: Acc-tr:  87.44, Acc-val:  58.46, L-tr: 0.3649, L-val: 2.0872
INFO:root:030: Acc-tr:  95.90, Acc-val:  53.43, L-tr: 0.1201, L-val: 2.6829
INFO:root:031: Acc-tr:  96.10, Acc-val:  53.61, L-tr: 0.1145, L-val: 2.8374
INFO:root:032: Acc-tr:  94.89, Acc-val:  52.95, L-tr: 0.1404, L-val: 2.8596
INFO:root:033: Acc-tr:  96.10, Acc-val:  54.48, L-tr: 0.1121, L-val: 2.9159
INFO:root:034: Acc-tr:  96.49, Acc-val:  53.41, L-tr: 0.1006, L-val: 2.9358
