INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  43.04, Acc-val:  42.76, L-tr: 1.5381, L-val: 1.5501
INFO:root:001: Acc-tr:  51.16, Acc-val:  49.21, L-tr: 1.3313, L-val: 1.3674
INFO:root:002: Acc-tr:  52.16, Acc-val:  49.64, L-tr: 1.3165, L-val: 1.3866
INFO:root:003: Acc-tr:  64.47, Acc-val:  60.31, L-tr: 0.9980, L-val: 1.1113
INFO:root:004: Acc-tr:  64.87, Acc-val:  60.02, L-tr: 0.9676, L-val: 1.1252
INFO:root:005: Acc-tr:  68.82, Acc-val:  62.27, L-tr: 0.8773, L-val: 1.0751
INFO:root:006: Acc-tr:  67.03, Acc-val:  60.15, L-tr: 0.9354, L-val: 1.1966
INFO:root:007: Acc-tr:  72.77, Acc-val:  63.03, L-tr: 0.7568, L-val: 1.0733
INFO:root:008: Acc-tr:  77.25, Acc-val:  65.72, L-tr: 0.6502, L-val: 1.0214
INFO:root:009: Acc-tr:  70.32, Acc-val:  60.42, L-tr: 0.8867, L-val: 1.3653
INFO:root:010: Acc-tr:  77.37, Acc-val:  63.60, L-tr: 0.6263, L-val: 1.1324
INFO:root:011: Acc-tr:  81.58, Acc-val:  64.94, L-tr: 0.5182, L-val: 1.1052
INFO:root:012: Acc-tr:  81.39, Acc-val:  63.43, L-tr: 0.5207, L-val: 1.1824
INFO:root:013: Acc-tr:  80.08, Acc-val:  62.86, L-tr: 0.5528, L-val: 1.2519
INFO:root:014: Acc-tr:  83.76, Acc-val:  64.02, L-tr: 0.4540, L-val: 1.2517
INFO:root:015: Acc-tr:  83.72, Acc-val:  63.55, L-tr: 0.4544, L-val: 1.3368
INFO:root:016: Acc-tr:  84.78, Acc-val:  63.11, L-tr: 0.4368, L-val: 1.3726
INFO:root:017: Acc-tr:  84.32, Acc-val:  63.94, L-tr: 0.4456, L-val: 1.4511
INFO:root:018: Acc-tr:  85.62, Acc-val:  62.81, L-tr: 0.4074, L-val: 1.4230
INFO:root:019: Acc-tr:  90.47, Acc-val:  65.33, L-tr: 0.2661, L-val: 1.3466
INFO:root:020: Acc-tr:  90.00, Acc-val:  64.36, L-tr: 0.2772, L-val: 1.4574
INFO:root:021: Acc-tr:  93.52, Acc-val:  66.44, L-tr: 0.1814, L-val: 1.4399
INFO:root:022: Acc-tr:  87.34, Acc-val:  62.41, L-tr: 0.3580, L-val: 1.6720
INFO:root:023: Acc-tr:  90.32, Acc-val:  63.95, L-tr: 0.2610, L-val: 1.6297
INFO:root:024: Acc-tr:  93.49, Acc-val:  65.73, L-tr: 0.1823, L-val: 1.5387
INFO:root:025: Acc-tr:  94.69, Acc-val:  65.51, L-tr: 0.1496, L-val: 1.4707
