INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  41.64, Acc-val:  36.66, L-tr: 1.5656, L-val: 1.7240
INFO:root:001: Acc-tr:  52.39, Acc-val:  44.40, L-tr: 1.3278, L-val: 1.5251
INFO:root:002: Acc-tr:  57.42, Acc-val:  51.40, L-tr: 1.1694, L-val: 1.3337
INFO:root:003: Acc-tr:  63.44, Acc-val:  55.03, L-tr: 1.0304, L-val: 1.2715
INFO:root:004: Acc-tr:  64.98, Acc-val:  59.07, L-tr: 0.9844, L-val: 1.1636
INFO:root:005: Acc-tr:  63.60, Acc-val:  59.60, L-tr: 1.0180, L-val: 1.1403
INFO:root:006: Acc-tr:  71.11, Acc-val:  60.43, L-tr: 0.8184, L-val: 1.1254
INFO:root:007: Acc-tr:  73.06, Acc-val:  59.35, L-tr: 0.7634, L-val: 1.2248
INFO:root:008: Acc-tr:  74.04, Acc-val:  62.75, L-tr: 0.7286, L-val: 1.1009
INFO:root:009: Acc-tr:  76.45, Acc-val:  65.08, L-tr: 0.6612, L-val: 1.0571
INFO:root:010: Acc-tr:  79.92, Acc-val:  64.13, L-tr: 0.5672, L-val: 1.1255
INFO:root:011: Acc-tr:  77.44, Acc-val:  64.01, L-tr: 0.6605, L-val: 1.1292
INFO:root:012: Acc-tr:  81.37, Acc-val:  65.48, L-tr: 0.5317, L-val: 1.1057
INFO:root:013: Acc-tr:  79.77, Acc-val:  65.58, L-tr: 0.5617, L-val: 1.1375
INFO:root:014: Acc-tr:  83.25, Acc-val:  67.16, L-tr: 0.4781, L-val: 1.1001
INFO:root:015: Acc-tr:  88.20, Acc-val:  66.97, L-tr: 0.3435, L-val: 1.1130
INFO:root:016: Acc-tr:  76.96, Acc-val:  56.26, L-tr: 0.6946, L-val: 1.8237
INFO:root:017: Acc-tr:  86.07, Acc-val:  66.52, L-tr: 0.3914, L-val: 1.2069
INFO:root:018: Acc-tr:  85.97, Acc-val:  65.07, L-tr: 0.3917, L-val: 1.3807
INFO:root:019: Acc-tr:  87.54, Acc-val:  65.44, L-tr: 0.3428, L-val: 1.3143
INFO:root:020: Acc-tr:  90.48, Acc-val:  66.84, L-tr: 0.2669, L-val: 1.2376
INFO:root:021: Acc-tr:  92.98, Acc-val:  67.91, L-tr: 0.1999, L-val: 1.2783
INFO:root:022: Acc-tr:  90.84, Acc-val:  65.85, L-tr: 0.2513, L-val: 1.4453
INFO:root:023: Acc-tr:  90.74, Acc-val:  64.25, L-tr: 0.2552, L-val: 1.5604
INFO:root:024: Acc-tr:  88.02, Acc-val:  63.90, L-tr: 0.3330, L-val: 1.6898
INFO:root:025: Acc-tr:  91.76, Acc-val:  63.31, L-tr: 0.2316, L-val: 1.6950
INFO:root:026: Acc-tr:  93.70, Acc-val:  64.18, L-tr: 0.1787, L-val: 1.6545
INFO:root:027: Acc-tr:  91.12, Acc-val:  63.64, L-tr: 0.2613, L-val: 1.7781
INFO:root:028: Acc-tr:  94.02, Acc-val:  65.09, L-tr: 0.1661, L-val: 1.6847
INFO:root:029: Acc-tr:  94.29, Acc-val:  64.25, L-tr: 0.1594, L-val: 1.7722
INFO:root:030: Acc-tr:  97.50, Acc-val:  66.81, L-tr: 0.0757, L-val: 1.6160
INFO:root:031: Acc-tr:  97.43, Acc-val:  63.62, L-tr: 0.0746, L-val: 1.9289
INFO:root:032: Acc-tr:  99.31, Acc-val:  67.53, L-tr: 0.0264, L-val: 1.6367
INFO:root:033: Acc-tr:  99.05, Acc-val:  67.45, L-tr: 0.0315, L-val: 1.7114
