INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  40.72, Acc-val:  41.39, L-tr: 1.5827, L-val: 1.5883
INFO:root:001: Acc-tr:  49.17, Acc-val:  47.48, L-tr: 1.3885, L-val: 1.4230
INFO:root:002: Acc-tr:  53.44, Acc-val:  51.33, L-tr: 1.2806, L-val: 1.3409
INFO:root:003: Acc-tr:  56.56, Acc-val:  52.90, L-tr: 1.1884, L-val: 1.2890
INFO:root:004: Acc-tr:  59.73, Acc-val:  54.87, L-tr: 1.1200, L-val: 1.2650
INFO:root:005: Acc-tr:  53.24, Acc-val:  48.72, L-tr: 1.3071, L-val: 1.4733
INFO:root:006: Acc-tr:  63.70, Acc-val:  55.21, L-tr: 1.0054, L-val: 1.2720
INFO:root:007: Acc-tr:  67.49, Acc-val:  57.55, L-tr: 0.9269, L-val: 1.2456
INFO:root:008: Acc-tr:  70.68, Acc-val:  58.73, L-tr: 0.8230, L-val: 1.1913
INFO:root:009: Acc-tr:  67.48, Acc-val:  54.32, L-tr: 0.9248, L-val: 1.3799
INFO:root:010: Acc-tr:  73.23, Acc-val:  58.18, L-tr: 0.7416, L-val: 1.2718
INFO:root:011: Acc-tr:  71.66, Acc-val:  56.33, L-tr: 0.8024, L-val: 1.4233
INFO:root:012: Acc-tr:  78.79, Acc-val:  59.55, L-tr: 0.6029, L-val: 1.2831
INFO:root:013: Acc-tr:  79.24, Acc-val:  59.02, L-tr: 0.5919, L-val: 1.2861
INFO:root:014: Acc-tr:  77.65, Acc-val:  56.90, L-tr: 0.6229, L-val: 1.3908
INFO:root:015: Acc-tr:  80.42, Acc-val:  57.98, L-tr: 0.5407, L-val: 1.4365
INFO:root:016: Acc-tr:  71.13, Acc-val:  52.62, L-tr: 0.8227, L-val: 1.8165
INFO:root:017: Acc-tr:  84.50, Acc-val:  58.37, L-tr: 0.4442, L-val: 1.4398
INFO:root:018: Acc-tr:  86.44, Acc-val:  59.34, L-tr: 0.3880, L-val: 1.3857
INFO:root:019: Acc-tr:  81.80, Acc-val:  56.71, L-tr: 0.4896, L-val: 1.6664
INFO:root:020: Acc-tr:  88.48, Acc-val:  58.69, L-tr: 0.3225, L-val: 1.5274
INFO:root:021: Acc-tr:  89.54, Acc-val:  59.29, L-tr: 0.2855, L-val: 1.5760
INFO:root:022: Acc-tr:  88.07, Acc-val:  58.14, L-tr: 0.3367, L-val: 1.7182
INFO:root:023: Acc-tr:  88.71, Acc-val:  59.34, L-tr: 0.3108, L-val: 1.7881
INFO:root:024: Acc-tr:  87.37, Acc-val:  57.39, L-tr: 0.3567, L-val: 1.9504
INFO:root:025: Acc-tr:  90.57, Acc-val:  58.27, L-tr: 0.2639, L-val: 1.7249
INFO:root:026: Acc-tr:  84.41, Acc-val:  55.86, L-tr: 0.4663, L-val: 2.1379
INFO:root:027: Acc-tr:  87.00, Acc-val:  56.78, L-tr: 0.3765, L-val: 2.1648
