INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  27.79, Acc-val:  27.78, L-tr: 1.9456, L-val: 1.9433
INFO:root:001: Acc-tr:  29.57, Acc-val:  29.48, L-tr: 1.8886, L-val: 1.8915
INFO:root:002: Acc-tr:  31.76, Acc-val:  32.15, L-tr: 1.8501, L-val: 1.8534
INFO:root:003: Acc-tr:  32.23, Acc-val:  32.48, L-tr: 1.8217, L-val: 1.8248
INFO:root:004: Acc-tr:  30.78, Acc-val:  30.52, L-tr: 1.8668, L-val: 1.8866
INFO:root:005: Acc-tr:  32.58, Acc-val:  31.65, L-tr: 1.8173, L-val: 1.8490
INFO:root:006: Acc-tr:  34.15, Acc-val:  32.22, L-tr: 1.7855, L-val: 1.8259
INFO:root:007: Acc-tr:  36.51, Acc-val:  33.97, L-tr: 1.7235, L-val: 1.7854
INFO:root:008: Acc-tr:  36.34, Acc-val:  33.39, L-tr: 1.7245, L-val: 1.7999
INFO:root:009: Acc-tr:  37.95, Acc-val:  34.18, L-tr: 1.7089, L-val: 1.7895
INFO:root:010: Acc-tr:  38.28, Acc-val:  33.50, L-tr: 1.6828, L-val: 1.7991
INFO:root:011: Acc-tr:  40.25, Acc-val:  34.43, L-tr: 1.6421, L-val: 1.7987
INFO:root:012: Acc-tr:  41.71, Acc-val:  34.37, L-tr: 1.6147, L-val: 1.7981
INFO:root:013: Acc-tr:  42.06, Acc-val:  33.97, L-tr: 1.6001, L-val: 1.8435
INFO:root:014: Acc-tr:  41.31, Acc-val:  33.89, L-tr: 1.6029, L-val: 1.8767
INFO:root:015: Acc-tr:  44.08, Acc-val:  33.06, L-tr: 1.5502, L-val: 1.8966
INFO:root:016: Acc-tr:  44.15, Acc-val:  32.06, L-tr: 1.5244, L-val: 1.8714
INFO:root:017: Acc-tr:  46.93, Acc-val:  32.00, L-tr: 1.4806, L-val: 1.9275
INFO:root:018: Acc-tr:  43.39, Acc-val:  32.54, L-tr: 1.5708, L-val: 2.0786
INFO:root:019: Acc-tr:  49.19, Acc-val:  33.69, L-tr: 1.4312, L-val: 1.9233
INFO:root:020: Acc-tr:  47.15, Acc-val:  30.68, L-tr: 1.4378, L-val: 2.1278
INFO:root:021: Acc-tr:  48.96, Acc-val:  29.67, L-tr: 1.4087, L-val: 2.0809
INFO:root:022: Acc-tr:  48.95, Acc-val:  30.99, L-tr: 1.4506, L-val: 2.3310
INFO:root:023: Acc-tr:  53.52, Acc-val:  31.66, L-tr: 1.2956, L-val: 2.1157
INFO:root:024: Acc-tr:  52.36, Acc-val:  31.45, L-tr: 1.3861, L-val: 2.3968
INFO:root:025: Acc-tr:  54.18, Acc-val:  29.96, L-tr: 1.2811, L-val: 2.2532
INFO:root:026: Acc-tr:  45.10, Acc-val:  27.61, L-tr: 1.7349, L-val: 2.8618
INFO:root:027: Acc-tr:  55.02, Acc-val:  30.44, L-tr: 1.2776, L-val: 2.5460
INFO:root:028: Acc-tr:  52.14, Acc-val:  29.84, L-tr: 1.4097, L-val: 2.6903
INFO:root:029: Acc-tr:  63.18, Acc-val:  29.48, L-tr: 1.0433, L-val: 2.3941
INFO:root:030: Acc-tr:  63.47, Acc-val:  29.64, L-tr: 1.0227, L-val: 2.6567
INFO:root:031: Acc-tr:  65.05, Acc-val:  29.74, L-tr: 0.9827, L-val: 2.5730
INFO:root:032: Acc-tr:  67.03, Acc-val:  28.98, L-tr: 0.9252, L-val: 2.5757
INFO:root:033: Acc-tr:  65.71, Acc-val:  28.35, L-tr: 0.9681, L-val: 2.7679
INFO:root:034: Acc-tr:  64.86, Acc-val:  26.53, L-tr: 0.9896, L-val: 2.6958
INFO:root:035: Acc-tr:  68.52, Acc-val:  28.37, L-tr: 0.8870, L-val: 2.9917
INFO:root:036: Acc-tr:  67.51, Acc-val:  28.60, L-tr: 0.9122, L-val: 3.0861
INFO:root:037: Acc-tr:  71.42, Acc-val:  28.93, L-tr: 0.8095, L-val: 2.9234
INFO:root:038: Acc-tr:  63.60, Acc-val:  27.55, L-tr: 1.0048, L-val: 3.1012
INFO:root:039: Acc-tr:  69.96, Acc-val:  26.22, L-tr: 0.8388, L-val: 3.1997
INFO:root:040: Acc-tr:  74.68, Acc-val:  27.95, L-tr: 0.7135, L-val: 3.4353
INFO:root:041: Acc-tr:  73.39, Acc-val:  25.89, L-tr: 0.7393, L-val: 3.5341
INFO:root:042: Acc-tr:  78.57, Acc-val:  25.83, L-tr: 0.6133, L-val: 3.2419
INFO:root:043: Acc-tr:  76.50, Acc-val:  25.85, L-tr: 0.6634, L-val: 3.5657
INFO:root:044: Acc-tr:  80.99, Acc-val:  27.89, L-tr: 0.5355, L-val: 3.4079
INFO:root:045: Acc-tr:  72.38, Acc-val:  26.33, L-tr: 0.8228, L-val: 3.8620
