INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  34.60, Acc-val:  17.57, L-tr: 1.7695, L-val: 2.4482
INFO:root:001: Acc-tr:  41.63, Acc-val:  18.84, L-tr: 1.6079, L-val: 2.4687
INFO:root:002: Acc-tr:  38.90, Acc-val:  17.86, L-tr: 1.7207, L-val: 2.5546
INFO:root:003: Acc-tr:  47.10, Acc-val:  20.19, L-tr: 1.4580, L-val: 2.5048
INFO:root:004: Acc-tr:  51.84, Acc-val:  21.55, L-tr: 1.3314, L-val: 2.4588
INFO:root:005: Acc-tr:  53.96, Acc-val:  22.29, L-tr: 1.2873, L-val: 2.7044
INFO:root:006: Acc-tr:  58.78, Acc-val:  21.48, L-tr: 1.1529, L-val: 2.7038
INFO:root:007: Acc-tr:  58.01, Acc-val:  24.07, L-tr: 1.1650, L-val: 2.5330
INFO:root:008: Acc-tr:  57.43, Acc-val:  16.98, L-tr: 1.1554, L-val: 3.4926
INFO:root:009: Acc-tr:  59.84, Acc-val:  20.32, L-tr: 1.1275, L-val: 2.8064
INFO:root:010: Acc-tr:  64.33, Acc-val:  21.64, L-tr: 0.9837, L-val: 3.0236
INFO:root:011: Acc-tr:  70.43, Acc-val:  22.32, L-tr: 0.8248, L-val: 2.8021
INFO:root:012: Acc-tr:  67.80, Acc-val:  18.55, L-tr: 0.8776, L-val: 3.4239
INFO:root:013: Acc-tr:  66.53, Acc-val:  17.80, L-tr: 0.9143, L-val: 4.3617
INFO:root:014: Acc-tr:  70.44, Acc-val:  18.98, L-tr: 0.8123, L-val: 3.4893
INFO:root:015: Acc-tr:  70.35, Acc-val:  23.00, L-tr: 0.8498, L-val: 3.1480
INFO:root:016: Acc-tr:  74.37, Acc-val:  23.97, L-tr: 0.6946, L-val: 2.8190
INFO:root:017: Acc-tr:  78.58, Acc-val:  23.29, L-tr: 0.5946, L-val: 3.1407
INFO:root:018: Acc-tr:  79.53, Acc-val:  20.53, L-tr: 0.5699, L-val: 3.7614
INFO:root:019: Acc-tr:  77.95, Acc-val:  18.94, L-tr: 0.6158, L-val: 4.2090
INFO:root:020: Acc-tr:  80.19, Acc-val:  23.68, L-tr: 0.5430, L-val: 3.7075
INFO:root:021: Acc-tr:  78.49, Acc-val:  20.25, L-tr: 0.5923, L-val: 4.1877
INFO:root:022: Acc-tr:  78.10, Acc-val:  21.74, L-tr: 0.5948, L-val: 4.1265
INFO:root:023: Acc-tr:  84.14, Acc-val:  19.97, L-tr: 0.4433, L-val: 4.4122
INFO:root:024: Acc-tr:  73.66, Acc-val:  16.44, L-tr: 0.7506, L-val: 5.3747
