INFO:root:Number of parameters: 369498
INFO:root:061: Acc-tr:  93.29, Acc-val:   9.62, L-tr: 0.2059, L-val: 6.4904
INFO:root:062: Acc-tr:  82.08, Acc-val:  10.14, L-tr: 0.5377, L-val: 7.2895
INFO:root:063: Acc-tr:  71.34, Acc-val:   9.84, L-tr: 0.9128, L-val: 8.1639
INFO:root:064: Acc-tr:  73.97, Acc-val:  10.29, L-tr: 0.8329, L-val: 7.9392
INFO:root:065: Acc-tr:  88.12, Acc-val:  10.32, L-tr: 0.3448, L-val: 7.0859
INFO:root:066: Acc-tr:  89.06, Acc-val:  10.09, L-tr: 0.3211, L-val: 6.9319
INFO:root:067: Acc-tr:  85.30, Acc-val:  10.49, L-tr: 0.4335, L-val: 7.4126
INFO:root:068: Acc-tr:  84.05, Acc-val:  10.08, L-tr: 0.4600, L-val: 7.4153
INFO:root:069: Acc-tr:  79.54, Acc-val:  10.21, L-tr: 0.6158, L-val: 7.7160
INFO:root:070: Acc-tr:  86.50, Acc-val:  10.04, L-tr: 0.3843, L-val: 7.6497
INFO:root:071: Acc-tr:  94.67, Acc-val:  10.55, L-tr: 0.1562, L-val: 7.3738
INFO:root:072: Acc-tr:  96.21, Acc-val:  10.34, L-tr: 0.1134, L-val: 7.6263
INFO:root:073: Acc-tr:  93.36, Acc-val:  10.49, L-tr: 0.1832, L-val: 8.0544
INFO:root:074: Acc-tr:  83.84, Acc-val:  10.13, L-tr: 0.4782, L-val: 8.5678
INFO:root:075: Acc-tr:  95.20, Acc-val:  10.03, L-tr: 0.1399, L-val: 7.8445
INFO:root:076: Acc-tr:  95.80, Acc-val:  10.18, L-tr: 0.1219, L-val: 7.8144
INFO:root:077: Acc-tr:  97.04, Acc-val:  10.18, L-tr: 0.0937, L-val: 7.7083
INFO:root:078: Acc-tr:  92.54, Acc-val:  10.50, L-tr: 0.2106, L-val: 8.1432
INFO:root:079: Acc-tr:  90.86, Acc-val:  10.24, L-tr: 0.2633, L-val: 8.0347
INFO:root:080: Acc-tr:  96.84, Acc-val:  10.53, L-tr: 0.0979, L-val: 7.7557
INFO:root:081: Acc-tr:  97.82, Acc-val:  10.16, L-tr: 0.0706, L-val: 7.8350
INFO:root:082: Acc-tr:  97.99, Acc-val:  10.80, L-tr: 0.0670, L-val: 8.0069
INFO:root:083: Acc-tr:  98.85, Acc-val:   9.47, L-tr: 0.0412, L-val: 8.0284
INFO:root:084: Acc-tr:  99.37, Acc-val:  10.45, L-tr: 0.0278, L-val: 8.0750
INFO:root:085: Acc-tr:  98.98, Acc-val:  10.12, L-tr: 0.0373, L-val: 8.0442
INFO:root:086: Acc-tr:  97.18, Acc-val:  10.58, L-tr: 0.0845, L-val: 8.4715
INFO:root:087: Acc-tr:  98.44, Acc-val:  10.56, L-tr: 0.0515, L-val: 8.4379
INFO:root:088: Acc-tr:  99.11, Acc-val:  10.43, L-tr: 0.0335, L-val: 8.3523
INFO:root:089: Acc-tr:  97.71, Acc-val:  10.29, L-tr: 0.0689, L-val: 8.7524
INFO:root:090: Acc-tr:  99.65, Acc-val:  10.30, L-tr: 0.0159, L-val: 8.3579
INFO:root:091: Acc-tr:  99.29, Acc-val:  10.35, L-tr: 0.0275, L-val: 8.4624
INFO:root:092: Acc-tr:  99.46, Acc-val:  10.51, L-tr: 0.0228, L-val: 8.5561
