INFO:root:Number of parameters: 369498
INFO:root:000: Acc-tr:  32.54, Acc-val:  32.09, L-tr: 1.8373, L-val: 1.8423
INFO:root:001: Acc-tr:  39.07, Acc-val:  37.76, L-tr: 1.6943, L-val: 1.7255
INFO:root:002: Acc-tr:  42.95, Acc-val:  40.55, L-tr: 1.5841, L-val: 1.6534
INFO:root:003: Acc-tr:  42.66, Acc-val:  39.74, L-tr: 1.5862, L-val: 1.6848
INFO:root:004: Acc-tr:  47.47, Acc-val:  42.05, L-tr: 1.4731, L-val: 1.6199
INFO:root:005: Acc-tr:  50.17, Acc-val:  43.81, L-tr: 1.3819, L-val: 1.5645
INFO:root:006: Acc-tr:  51.92, Acc-val:  43.75, L-tr: 1.3366, L-val: 1.5731
INFO:root:007: Acc-tr:  52.63, Acc-val:  43.13, L-tr: 1.3162, L-val: 1.5871
INFO:root:008: Acc-tr:  51.14, Acc-val:  41.03, L-tr: 1.3754, L-val: 1.7068
INFO:root:009: Acc-tr:  51.28, Acc-val:  40.48, L-tr: 1.3962, L-val: 1.7676
INFO:root:010: Acc-tr:  58.52, Acc-val:  44.12, L-tr: 1.1691, L-val: 1.6072
INFO:root:011: Acc-tr:  61.08, Acc-val:  44.79, L-tr: 1.1013, L-val: 1.6180
INFO:root:012: Acc-tr:  55.24, Acc-val:  41.65, L-tr: 1.2286, L-val: 1.7555
INFO:root:013: Acc-tr:  61.41, Acc-val:  42.94, L-tr: 1.0861, L-val: 1.7124
INFO:root:014: Acc-tr:  63.63, Acc-val:  43.69, L-tr: 1.0269, L-val: 1.7295
INFO:root:015: Acc-tr:  58.21, Acc-val:  39.61, L-tr: 1.1744, L-val: 1.8792
INFO:root:016: Acc-tr:  62.83, Acc-val:  43.33, L-tr: 1.0384, L-val: 1.7876
INFO:root:017: Acc-tr:  63.37, Acc-val:  42.06, L-tr: 1.0017, L-val: 1.8261
INFO:root:018: Acc-tr:  63.86, Acc-val:  41.79, L-tr: 1.0375, L-val: 1.9491
INFO:root:019: Acc-tr:  69.27, Acc-val:  43.75, L-tr: 0.8731, L-val: 1.8206
INFO:root:020: Acc-tr:  67.50, Acc-val:  41.83, L-tr: 0.8872, L-val: 2.0052
INFO:root:021: Acc-tr:  68.95, Acc-val:  41.64, L-tr: 0.8846, L-val: 2.0257
INFO:root:022: Acc-tr:  71.75, Acc-val:  42.57, L-tr: 0.7882, L-val: 2.0075
INFO:root:023: Acc-tr:  67.60, Acc-val:  40.58, L-tr: 0.9341, L-val: 2.3085
INFO:root:024: Acc-tr:  67.81, Acc-val:  39.57, L-tr: 0.9095, L-val: 2.3482
INFO:root:025: Acc-tr:  73.10, Acc-val:  40.43, L-tr: 0.7481, L-val: 2.1293
INFO:root:026: Acc-tr:  70.45, Acc-val:  41.89, L-tr: 0.8231, L-val: 2.3207
INFO:root:027: Acc-tr:  74.97, Acc-val:  42.09, L-tr: 0.6882, L-val: 2.1071
INFO:root:028: Acc-tr:  77.51, Acc-val:  41.67, L-tr: 0.6354, L-val: 2.2212
INFO:root:029: Acc-tr:  79.32, Acc-val:  42.11, L-tr: 0.5783, L-val: 2.2140
INFO:root:030: Acc-tr:  73.63, Acc-val:  41.36, L-tr: 0.7312, L-val: 2.4837
INFO:root:031: Acc-tr:  68.74, Acc-val:  38.13, L-tr: 1.0263, L-val: 3.1104
INFO:root:032: Acc-tr:  69.71, Acc-val:  37.21, L-tr: 0.9401, L-val: 2.9837
INFO:root:033: Acc-tr:  83.01, Acc-val:  42.46, L-tr: 0.4683, L-val: 2.3812
INFO:root:034: Acc-tr:  82.75, Acc-val:  41.73, L-tr: 0.4748, L-val: 2.5753
INFO:root:035: Acc-tr:  85.40, Acc-val:  42.91, L-tr: 0.4210, L-val: 2.5841
INFO:root:036: Acc-tr:  82.53, Acc-val:  41.72, L-tr: 0.4845, L-val: 2.6826
INFO:root:037: Acc-tr:  77.22, Acc-val:  40.59, L-tr: 0.6576, L-val: 2.9028
INFO:root:038: Acc-tr:  84.18, Acc-val:  41.36, L-tr: 0.4483, L-val: 2.6859
INFO:root:039: Acc-tr:  85.01, Acc-val:  41.17, L-tr: 0.4196, L-val: 2.8612
INFO:root:040: Acc-tr:  86.62, Acc-val:  41.54, L-tr: 0.3697, L-val: 2.9828
